OTU_ID	Taxon	TC10-1	TC10-2	TC10-3	TC50-1	TC50-2	TC50-3	TC25-1	TC25-2	TC25-3	CK-1	CK-2	CK-3
OTU128	r__Root;k__Bacteria;p__Thermotogae	32.36674532	29.1194391	38.71588394	25.03342282	31.02086265	27.96603731	24.64630014	23.11817055	26.40854636	31.8558103	29.50203325	29.51241932
OTU129	r__Root;k__Bacteria;p__Thermotogae;c__Thermotogae	160.9539438	144.6402186	192.5911119	124.4818927	154.1590792	138.917206	122.4255115	114.9497289	131.4276259	158.5784709	146.6785066	146.5416118
OTU130	r__Root;k__Bacteria;p__Verrucomicrobia	1714.650328	1610.136372	1627.957801	2120.897362	1626.661856	1598.388772	1580.841689	1412.961464	1378.00123	1438.085842	1513.007836	1514.521845
OTU131	r__Root;k__Bacteria;p__Verrucomicrobia;c__Methylacidiphilae	35.33022415	30.44097859	33.00088664	37.8242228	33.85656477	28.30239859	33.21523754	26.36150279	32.10852764	28.60017121	26.87573949	27.26735284
OTU132	r__Root;k__Bacteria;p__Verrucomicrobia;c__Opitutae	5357.691895	4826.581208	4840.989439	5868.693119	5254.212317	5146.135279	4697.601775	4522.600538	4078.644159	4371.869976	4445.483679	4334.406979
OTU133	r__Root;k__Bacteria;p__Verrucomicrobia;c__Spartobacteria	20.4202213	15.31162995	20.75446386	17.67871283	15.98304834	16.28949596	17.18029528	13.35046064	18.08411327	17.92662029	18.25274164	21.55263818
OTU134	r__Root;k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	2449.639382	2503.405926	2533.548538	4169.663749	2231.267921	2258.762055	2617.640693	1974.661354	2191.007193	2153.502229	2456.985357	2569.66227
OTU136	r__Root;k__Fungi;p__Ascomycota	981.9764922	968.6884459	987.3194952	954.8788999	899.6050168	1000.386479	808.4495492	851.7895595	786.4743955	873.1294344	845.185104	891.3322106
OTU137	r__Root;k__Fungi;p__Ascomycota;c__Dothideomycetes	243.0052639	242.4341409	256.6592395	207.0739154	231.3675143	232.9542077	192.9283529	207.1584189	199.7043801	232.9636425	228.0498416	237.6913108
OTU138	r__Root;k__Fungi;p__Ascomycota;c__Eurotiomycetes	214.3891714	224.1604396	228.6858316	205.749154	218.5638896	257.6527355	204.4243036	180.985482	166.7757113	213.7182823	206.5580043	203.0356483
OTU139	r__Root;k__Fungi;p__Ascomycota;c__Leotiomycetes	101.6380629	97.52050027	115.5890431	93.64692842	105.479526	93.94089854	92.90085595	86.92884683	86.3198604	94.78442909	93.89000198	95.10917983
OTU140	r__Root;k__Fungi;p__Ascomycota;c__Saccharomycetes	801.3431968	781.5766823	841.8233987	841.6346387	788.9267035	839.6057904	669.776993	682.6082984	675.2632499	698.8085062	696.2742477	703.1548205
OTU141	r__Root;k__Fungi;p__Ascomycota;c__Schizosaccharomycetes	236.8467844	234.231482	272.4291944	298.7565424	220.1965666	275.0954701	191.3163746	200.0683438	211.3913921	208.525744	225.2046901	215.1181879
OTU142	r__Root;k__Fungi;p__Ascomycota;c__Sordariomycetes	3309.928025	3261.422749	3218.875545	3125.020842	2930.998903	3300.040455	2688.822262	2899.19961	2590.867031	2914.786037	2774.022786	3000.674214
OTU143	r__Root;k__Fungi;p__Basidiomycota	154.3324208	149.6985249	157.2268805	132.8872755	137.273762	150.882057	129.679414	127.8853447	123.4722564	139.9512701	132.7591496	132.9895742
OTU144	r__Root;k__Fungi;p__Basidiomycota;c__Malasseziomycetes	121.5489363	119.8499606	119.8860335	124.9387069	98.81992256	120.6095424	106.4754102	106.1625613	97.39176648	103.4386596	99.1425895	103.2730579
OTU145	r__Root;k__Fungi;p__Basidiomycota;c__Tremellomycetes	82.19023311	71.08971048	87.65860514	75.37435702	75.83354927	86.0123828	71.90271728	68.97737998	57.77894693	68.98658013	66.48900373	71.02573944
OTU146	r__Root;k__Fungi;p__Basidiomycota;c__Ustilaginomycetes	567.4598912	557.0972504	578.2889745	464.0319507	511.5005122	547.5481017	469.5947376	464.0605034	462.0675472	527.2074789	498.0328403	490.2408797
OTU147	r__Root;k__Fungi;p__Microsporidia	3.843261605	2.14180538	2.019585511	3.060655709	1.675642165	2.306477304	4.199627735	2.828487424	3.239557706	3.420481572	2.407435948	2.5716216
